@RELATION all_data_pacman

@ATTRIBUTE legal_actions_west {0, 1}
@ATTRIBUTE legal_actions_stop {0, 1}
@ATTRIBUTE legal_actions_east {0, 1}
@ATTRIBUTE legal_actions_north {0, 1}
@ATTRIBUTE legal_actions_south {0, 1}
@ATTRIBUTE ghost_distance NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE pacman_direction {West,Stop,East,North,South}
@ATTRIBUTE ghost_distanceNext NUMERIC
@ATTRIBUTE scoreNext NUMERIC

@DATA
1,1,1,1,1,3,-1,Stop,3,-2
1,1,1,1,1,3,-2,Stop,3,-3
1,1,1,1,1,3,-3,Stop,3,-4
1,1,1,1,1,3,-4,Stop,2,-5
1,1,1,1,1,2,-5,East,3,-6
1,1,1,1,1,3,-6,East,2,-7
1,1,1,1,1,2,-7,North,1,-8
1,1,1,1,1,1,-8,North,6,191
1,1,1,1,1,6,191,West,7,190
1,1,1,1,1,7,190,West,6,189
1,1,1,1,1,6,189,West,5,188
1,1,1,1,1,5,188,West,4,187
1,1,1,1,1,4,187,West,3,186
1,1,1,1,1,3,186,West,2,185
1,1,1,1,1,2,185,West,1,184
1,1,1,1,1,1,184,West,6,383
1,1,1,1,1,6,383,West,7,382
1,1,1,1,1,7,382,East,8,381
1,1,1,1,1,8,381,East,9,380
1,1,1,1,1,9,380,East,8,379
1,1,1,1,1,8,379,South,7,378
1,1,1,1,1,7,378,South,6,377
1,1,1,1,1,6,377,South,5,376
1,1,1,1,1,5,376,South,4,375
1,1,1,1,1,4,375,South,3,374
1,1,1,1,1,3,374,South,2,373
1,1,1,1,1,2,373,West,1,372
1,1,1,1,1,1,372,West,8,571
1,1,1,1,1,8,571,West,9,570
1,1,1,1,1,9,570,West,8,569
1,1,1,1,1,8,569,East,7,568
1,1,1,1,1,7,568,East,6,567
1,1,1,1,1,6,567,East,5,566
1,1,1,1,1,5,566,East,4,565
1,1,1,1,1,4,565,East,3,564
1,1,1,1,1,3,564,East,2,563
1,1,1,1,1,2,563,East,1,562
1,1,1,1,1,1,562,East,9999,761
0,1,0,0,0,9999,761,East,2,-1
1,1,1,1,1,2,-1,North,6,198
1,1,1,1,1,6,198,North,5,197
1,1,1,1,1,5,197,West,3,196
1,1,1,1,1,3,196,West,3,195
1,1,1,1,1,3,195,West,2,194
1,1,1,1,1,2,194,West,2,193
1,1,1,1,1,2,193,West,2,192
1,1,1,1,1,2,192,West,2,191
1,1,1,1,1,2,191,South,5,390
1,1,1,1,0,5,390,West,4,389
1,1,1,1,1,4,389,East,2,388
0,1,1,1,1,2,388,South,1,387
1,1,1,1,1,1,387,South,1,386
1,1,1,1,1,1,386,South,1,385
1,1,1,1,1,1,385,South,11,584
1,1,1,1,1,11,584,West,11,583
1,1,1,1,1,11,583,South,9,582
1,1,1,1,1,9,582,South,8,581
1,1,1,1,1,8,581,South,6,580
1,1,1,1,0,6,580,South,6,579
1,1,1,1,1,6,579,North,4,578
1,1,1,1,1,4,578,East,4,577
1,1,1,1,1,4,577,North,4,576
1,1,1,1,1,4,576,North,2,575
1,1,1,1,1,2,575,East,2,574
1,1,1,1,1,2,574,North,2,573
1,1,1,1,1,2,573,North,1,572
1,1,1,1,1,1,572,East,9999,771
0,1,0,0,0,9999,771,East,2,-1
1,1,1,1,1,2,-1,North,2,-2
1,1,1,1,1,2,-2,North,1,-3
1,1,1,1,1,1,-3,East,1,-4
1,1,1,1,1,1,-4,East,1,-5
1,1,1,1,1,1,-5,North,9,194
1,1,1,0,1,9,194,North,8,193
1,1,1,1,1,8,193,South,6,192
1,1,1,1,1,6,192,West,4,191
1,1,1,1,1,4,191,West,3,190
1,1,1,1,1,3,190,West,1,189
1,1,1,1,1,1,189,West,11,388
1,1,1,1,1,11,388,West,10,387
1,1,1,1,1,10,387,South,10,386
1,1,1,1,1,10,386,South,8,385
1,1,1,1,1,8,385,South,6,384
1,1,1,1,1,6,384,South,5,383
1,1,1,1,1,5,383,South,5,382
1,1,1,1,1,5,382,South,3,381
1,1,1,1,1,3,381,South,2,380
1,1,1,1,1,2,380,South,1,379
1,1,1,1,1,1,379,South,1,378
1,1,1,1,0,1,378,South,1,377
1,1,1,1,0,1,377,West,1,376
1,1,1,1,1,1,376,North,1,375
1,1,1,1,0,1,375,South,1,374
1,1,1,1,0,1,374,West,1,373
1,1,1,1,1,1,373,North,1,372
1,1,1,1,0,1,372,South,8,571
1,1,1,1,1,8,571,North,7,570
1,1,1,1,1,7,570,North,7,569
1,1,1,1,1,7,569,North,5,568
1,1,1,1,1,5,568,West,3,567
1,1,1,1,1,3,567,West,3,566
1,1,1,1,1,3,566,South,3,565
1,1,1,1,1,3,565,West,1,564
1,1,1,1,1,1,564,West,9999,763
0,1,0,0,0,9999,763,West,12,-1
0,1,0,1,1,12,-1,South,12,-2
0,1,1,1,1,12,-2,South,10,-3
0,1,1,1,1,10,-3,South,9,-4
0,1,1,1,1,9,-4,South,8,-5
